,Coupon,Restauarant ID,Start Date,End Date,Orders with Discount,Discounted Orders Revenue ,Discount Spend,Average Order Value (Discounted Orders),New User Orders ,Returning User Orders,Dormant User Orders
69,ICICIAMZ,4780.0,2023-01-08 00:00:00,2023-01-29 00:00:00,2.0,2765.0,50.0,1383.0,2.0,0.0,0.0
70,ICICIAMZ,180801.0,2023-01-01 00:00:00,2023-01-29 00:00:00,4.0,2562.0,-200.0,641.0,0.0,4.0,0.0
71,ICICIFEST,4780.0,2023-01-06 00:00:00,2023-01-27 00:00:00,0.0,,0.0,,0.0,0.0,0.0
72,ICICIFEST,313834.0,2023-01-20 00:00:00,2023-01-27 00:00:00,0.0,,0.0,,0.0,0.0,0.0
73,ICICIFEST,180801.0,2023-01-06 00:00:00,2023-01-27 00:00:00,3.0,1393.0,-205.0,464.0,1.0,2.0,0.0
74,AXIS40,180796.0,2023-01-20 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
75,AXIS40,231392.0,2023-01-09 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
76,AXIS40,313834.0,2023-01-20 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
77,AXIS40,330114.0,2023-01-09 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
78,AXIS40,445384.0,2023-01-01 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
79,AXIS40,600278.0,2023-01-01 00:00:00,2023-01-31 00:00:00,0.0,,0.0,,0.0,0.0,0.0
80,AXIS40,4780.0,2023-01-01 00:00:00,2023-01-31 00:00:00,1.0,418.0,-70.0,418.0,0.0,1.0,0.0
81,AXIS40,180801.0,2023-01-01 00:00:00,2023-01-31 00:00:00,4.0,1724.0,-280.0,431.0,2.0,2.0,0.0
82,TRYNEW,330114.0,2022-09-26,2023-03-31,608.0,141634.12,49444.85999999999,232.95085526315785,608.0,0.0,0.0
83,TRYNEW,4780.0,2023-01-12,2023-05-31,857.0,264543.769999,47292.630001,308.6858459731622,857.0,0.0,0.0
84,TRYNEW,180801.0,2023-01-02,2023-03-31,888.0,264561.88194000005,32699.518060000002,297.9300472297298,888.0,0.0,0.0
85,TRYNEW,600278.0,2023-02-03,2023-03-31,360.0,78285.26000000001,29741.56,217.45905555555555,360.0,0.0,0.0
86,TRYNEW,231392.0,2022-09-26,2023-03-31,287.0,58698.44000000001,23577.690000000002,204.524181184669,287.0,0.0,0.0
87,TRYNEW,445384.0,2022-09-26,2023-03-31,209.0,39709.369999999995,20325.470000000005,189.996985645933,209.0,0.0,0.0
88,TRYNEW,444423.0,2022-12-22,2023-03-31,80.0,11508.33,9403.68,143.854125,80.0,0.0,0.0
